掲載状態,ブランド,車種,グレード,グレード付加情報,ドア,排気量,燃料,車両本体価格,支払総額,年式,車検,リサイクル,走行,色,保証,整備,修復歴,4WD,ナビ,バックカメラ,Bluetooth,ETC,ETC2.0,スマートキー,両側電動スライドドア,電動スライドドア,3列シート,定員4人,定員5人,定員7人,定員8人
掲載,三菱,デリカミニ,Ｔ　プレミアム,４ＷＤ　ターボ　マイパイロット　パドルシフト　両側ハンズフリースライドドア　ハーフレザーシート　ナビ　Ｂｌｕｅｔｏｏｔｈ　全方位カメラ　ルーフレール　ＵＳＢポート　ＥＴＣ　デジタルインナーミラー,5D,660,G|無鉛レギュラーガソリン,232.2万円,235.2万円,2024年,検2027年12月,リ済込,0.4万K,チタニウムグレーメタリック,保証付　期限条件有り,整備付,無し,○,×,○,○,○,×,○,○,×,×,○,×,×,×
掲載,スズキ,ハスラー,Ｊスタイル,４ＷＤ　ハイブリッド　オプションツートンカラー　純正オプション９インチナビ　全方位モニター　前席シートヒーター　ルーフレール　ＵＳＢポート　スノーモード　パーキングソナー　シートバックテーブル　フォグ,5D,660,G|無鉛レギュラーガソリン,173.4万円,177.2万円,2022年,車検整備付,リ済込,2.6万K,ブルーイッシュブラックパール３ＩＩ,保証付　期間条件有り,整備付,無し,○,×,○,○,×,×,○,×,×,×,○,×,×,×
掲載,マツダ,スクラムワゴン,ＰＺ－Ｓ,４ＷＤ　最上級Ｇ　ＣＶＴミッション　社外デジタルインナーミラー　両側Ｐスライド　オートステップ　ＥＴＣ　Ｂカメラ　レールカーテン（黒）　アシストバー取付　絨毯フロアマット（ベージュ）　シートヒーター,5D,660,G|無鉛レギュラーガソリン,209.9万円,213.2万円,2025年,検2028年04月,リ済込,0.8万K,デニムブルーメタリック,保証付　期限条件有り,整備付,無し,○,×,○,○,○,×,○,×,×,×,○,×,×,×
掲載,トヨタ,アルファードハイブリッド,Ｓ　タイプゴールド,４ＷＤ　ＯＰパノラミックビューモニター（ガッツミラーなし）　シーケンシャルウィンカー　ＪＢＬ　フリップダウンＭ　Ｐバックドア　パーキングアシスト　ＡＣ１００Ｖ１５００Ｗ　ＨＤＭＩ　ＥＴＣ　両側Ｐスラ,5D,2.5,HB|無鉛レギュラーガソリン,428.1万円,438.5万円,2021年,車検整備付,リ済込,5.1万K,ラグジュアリーホワイトパールクリスタルシャインガラスフレーク,保証付　期間条件有り,整備付,無し,○,○,○,○,×,○,○,○,×,○,×,×,○,×
掲載,スズキ,スペーシアカスタム,ハイブリッドＧＳ,４ＷＤ　ハイブリッド　レーダークルコン　前席シートヒーター　ＵＳＢポート　バックカメラ　電動パーキングブレーキ　オートブレーキホールド　社外ディスプレイオーディオ　パワスラ　ＬＥＤヘッドライト・フォグ,5D,660,G|無鉛レギュラーガソリン,195万円,197.6万円,2024年,検2027年06月,リ済込,0.6万K,インディゴブルーメタリックＩＩ,保証付　期限条件有り,整備付,無し,○,×,○,○,×,×,○,×,×,×,○,×,×,×
掲載,日産,ルークス,ハイウェイスター　Ｘ,４ＷＤ　Ｓハイブリッド　純正９インチＯＰナビ　アラウンドビューモニター　Ｂｌｕｅｔｏｏｔｈ　フルセグＴＶ　ハンズフリー左パワースライドドア　アイドリングストップ　セーフティシールド　ＬＥＤヘッドライト,5D,660,G|無鉛レギュラーガソリン,125.6万円,129.3万円,2021年,車検整備付,リ済込,8.9万K,フローズンバニラパールＭ,保証付　期間条件有り,整備付,無し,○,×,○,○,×,×,○,×,○,×,○,×,×,×
掲載,スバル,レガシィアウトバック,リミテッドＥＸ,４ＷＤ　最上級Ｇ　ターボ　純正ナビ　フルセグＴＶ　Ｆ・Ｓ・Ｂカメラ　Ｂｌｕｅｔｏｏｔｈ　ヒルディセントコントロール　Ｘ－ＭＯＤＥ　Ｐバックドア　メモリー付きＰシート　シートヒーター　キャリアベース変形,5D,1.8,G|無鉛レギュラーガソリン,326.8万円,337.3万円,2022年,車検整備付,リ済込,5.7万K,クリスタルブラックシリカ,保証付　期間条件有り,整備付,無し,○,×,○,○,○,×,○,×,×,×,×,○,×,×
掲載,ダイハツ,ハイゼットトラック,ジャンボエクストラ,切替式４ＷＤ　社外アルミホイール　メッキ加飾　社外ナビ　Ｂｌｕｅｔｏｏｔｈ　前後ドライブレコーダー　天井収納　パーキングソナー　荷台マット　アオリガード　フォグ衝突軽減ブレーキ　アイドリングストップ,2D,660,G|無鉛レギュラーガソリン,154.4万円,158.2万円,2024年,車検整備付,リ済込,2.2万K,ファイアークオーツレッドＭ,保証付　期限条件有り,整備付,無し,○,×,×,○,×,×,×,×,×,×,×,×,×,×
掲載,日産,ＮＶ１００クリッパーリオ,Ｅ,４ＷＤ　ターボ　エマージェンシーブレーキ　純正ナビ　ＴＶ　Ｂｌｕｅｔｏｏｔｈ　バックカメラ　ＥＴＣ２．０　シートヒーター　リアヒーター　ドライブレコーダー　ステアリングスイッチ　ＨＩＤヘッドライト,5D,660,G|無鉛レギュラーガソリン,104.2万円,109.2万円,2019年,車検整備付,リ済込,8.8万K,ブルーイッシュブラックＰ,保証付　期間条件有り,整備付,無し,○,○,○,○,×,○,○,×,×,×,○,×,×,×
掲載,トヨタ,ランドクルーザープラド,ＴＸ,４ＷＤ　ディーゼルターボ　買取車　ワンオーナー　オプションＬＥＤヘッドライト装着（Ｌパッケージ標準装備品）　外ＡＷ＋夏タイヤ　純正ＡＷ＋冬タイヤセット　純正ナビ　Ｂカメラ　ＥＴＣ　センターデフロック,5D,2.8,D|軽油,345.8万円,358.2万円,2015年,車検整備付,リ済込,4.9万K,ホワイトパールクリスタルシャイン,保証付　期間条件有り,整備付,無し,○,×,○,×,○,×,○,×,×,×,×,○,×,×
